_price,dd
109.1096038,0.053768294
109.3328345,0.051832369
109.3330265,0.051830704
109.4100192,0.051162999
109.5047592,0.050341385
108.6322313,0.04954284
109.6538339,0.049048565
109.7010333,0.048639237
108.7436327,0.048568154
108.7522013,0.048493185
105.9251589,0.068912683
105.9844577,0.068391443
106.0212803,0.068067771
106.2204469,0.066317086
106.3840933,0.064878627
106.408781,0.06466162
106.4303982,0.064471605
106.4312153,0.064464422
106.4343983,0.064436443
106.4343983,0.064436443
112.4897442,0.047703093
113.1496476,0.042116592
98.66998928,0.041100845
98.6705882,0.041095024
98.88194317,0.039041025
98.98080245,0.038080286
113.8604064,0.03609957
113.8604064,0.03609957
113.8604064,0.03609957
113.8647202,0.03606305
110.1794294,0.042755217
98.7450288,0.04235653
98.75671469,0.042243198
98.75748568,0.042235721
110.2990774,0.041715709
113.1570922,0.040716782
113.1836255,0.040491847
113.2326714,0.040076064
110.5156925,0.039833746
110.5156925,0.039833746
107.8194221,0.045578003
107.8310201,0.045475337
107.95777,0.044353342
107.9767139,0.044185649
102.1908482,0.043306953
108.0890543,0.043191207
108.177374,0.042409398
108.2554226,0.041718508
108.281082,0.04149137
102.3953491,0.041392451
110.6590026,0.047352082
110.6706514,0.047251799
110.7977867,0.046157309
110.8167913,0.045993701
110.9289571,0.045028081
111.0172008,0.044268404
111.0952453,0.043596529
111.1564809,0.043069361
111.173619,0.042921822
111.2466151,0.042293408
106.664084,0.061697411
106.664084,0.061697411
106.7423594,0.061008837
106.7878064,0.060609049
106.9338749,0.059324113
107.0959908,0.057898013
107.2362427,0.056664245
107.285035,0.056235029
107.2889257,0.056200803
107.3044329,0.056064389
106.9052201,0.056548124
106.9930041,0.055773419
107.0245062,0.055495409
107.0705676,0.055088912
107.1449268,0.054432682
107.1566067,0.054329606
107.264056,0.053381352
107.3034498,0.053033698
107.4131916,0.052065213
107.4341914,0.051879887
102.1044021,0.060335903
102.2238542,0.059236588
102.5291774,0.056426707
102.8465029,0.053506368
102.8701263,0.053288964
102.8701263,0.053288964
102.8780683,0.053215873
102.9386415,0.05265842
102.954326,0.052514075
103.0232156,0.051880086
108.1323081,0.047237182
108.2531,0.046172875
106.3592479,0.044369655
108.6026689,0.043092794
108.6026689,0.043092794
108.6174157,0.042962859
108.6174157,0.042962859
108.6174157,0.042962859
108.6174157,0.042962859
108.6174157,0.042962859
104.5307551,0.044148696
104.582951,0.043671406
104.5921928,0.043586896
104.7019977,0.042582818
104.7786562,0.041881836
104.8309019,0.04140409
104.8380193,0.041339007
104.8542016,0.041191033
104.9159216,0.040626652
104.9379852,0.040424898
109.8393221,0.055112164
109.8577491,0.054953647
110.0558008,0.053249916
110.2653685,0.051447119
110.2903014,0.051232635
110.436276,0.049976895
110.5137052,0.049310814
110.564805,0.04887123
110.5996674,0.048571328
110.6707032,0.047960246
104.6495669,0.066379317
104.8733621,0.064382751
104.8733878,0.064382521
104.9507148,0.063692657
104.9595399,0.063613924
105.0456081,0.062846075
105.1235556,0.062150675
105.1758073,0.061684516
105.2422278,0.061091953
105.3691193,0.059959903
99.25878852,0.07138586
104.9031609,0.070192723
104.9625502,0.069666327
104.9993987,0.069339721
99.49305471,0.069194186
105.0456624,0.068929663
99.65732294,0.067657377
105.1988141,0.067572206
99.70024818,0.067255791
99.70024818,0.067255791
99.44888096,0.046023877
99.68315108,0.04377661
99.84743548,0.042200691
99.89036025,0.04178893
99.89036025,0.04178893
96.00111595,0.041079765
112.4983395,0.040758992
100.0972758,0.039804066
96.2469306,0.038624412
96.2678158,0.038415797
106.669653,0.056010382
106.8235323,0.054648604
106.9987787,0.053097733
107.1018523,0.052185568
107.4198858,0.049371081
107.4353601,0.049234139
107.4832202,0.048810593
107.5003036,0.048659411
107.5245166,0.048445134
107.5396197,0.048311477
99.34538451,0.062652029
100.0119322,0.056362988
100.1605651,0.054960601
100.2447053,0.054166718
100.3907621,0.052788635
100.4125786,0.052582791
100.4125786,0.052582791
100.5313004,0.051462622
100.6890526,0.049974192
100.7892693,0.049028623
97.47457489,0.050497462
97.48625517,0.050383684
97.48706873,0.050375759
97.67999077,0.0484965
97.71397208,0.048165487
97.79076656,0.04741743
100.3723509,0.045982768
100.6065625,0.043756638
98.23374184,0.043102395
100.7708973,0.042194672
97.24265672,0.054781044
97.25433712,0.054667508
97.25515021,0.054659605
99.19943555,0.054655099
97.48209917,0.052453613
97.4866323,0.05240955
97.55892656,0.051706835
99.85795469,0.048379583
99.86602113,0.048302712
97.96514491,0.047758308
107.1170271,0.053671438
107.2735631,0.052288515
107.4324703,0.050884646
107.4777431,0.050484681
107.6232428,0.04919926
99.94174853,0.049143386
100.1760087,0.046914609
107.9730318,0.046109039
107.9923547,0.04593833
108.0246047,0.045653416
110.3239276,0.036524591
110.3748302,0.036080052
110.5332147,0.034696856
110.6141347,0.033990169
110.7652122,0.032670787
105.7483668,0.032190179
105.7571651,0.032109657
110.9833644,0.030765631
111.0522285,0.03016423
106.0694239,0.029251862
104.3117171,0.051664486
104.3979344,0.050880653
104.4591981,0.050323682
104.4719293,0.050207938
104.5442327,0.049550602
104.630171,0.048769306
104.6627696,0.04847294
104.6754942,0.048357257
104.6989588,0.048143931
104.7267841,0.047890961
98.27424709,0.062530989
98.46088384,0.060750602
98.52013177,0.060185417
98.62738165,0.059162327
98.85179085,0.057021617
98.89396591,0.056619296
98.93683878,0.056210318
98.95883924,0.056000448
98.99732869,0.055633285
99.08014636,0.054843262
99.06524901,0.056290051
99.29957696,0.054057809
99.46387326,0.052492698
99.50681094,0.052083668
99.50681094,0.052083668
99.71375827,0.050112257
99.96657391,0.047703899
99.99707735,0.047413319
100.0706136,0.046712802
100.115308,0.046287036
